2018-01-09T16:14:14.427+0100 I CONTROL  [main] Trying to start Windows service 'MongoDB'
2018-01-09T16:14:14.428+0100 I CONTROL  [initandlisten] MongoDB starting : pid=9716 port=27017 dbpath=C:\Users\laura\Desktop\UniversidadUAH\ComputaciÃ³n ubicua\Pec2\medical_profiler\db\data\ 64-bit host=DESKTOP-O175VNR
2018-01-09T16:14:14.428+0100 I CONTROL  [initandlisten] targetMinOS: Windows 7/Windows Server 2008 R2
2018-01-09T16:14:14.428+0100 I CONTROL  [initandlisten] db version v3.6.0
2018-01-09T16:14:14.428+0100 I CONTROL  [initandlisten] git version: a57d8e71e6998a2d0afde7edc11bd23e5661c915
2018-01-09T16:14:14.429+0100 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.1u-fips  22 Sep 2016
2018-01-09T16:14:14.429+0100 I CONTROL  [initandlisten] allocator: tcmalloc
2018-01-09T16:14:14.429+0100 I CONTROL  [initandlisten] modules: none
2018-01-09T16:14:14.429+0100 I CONTROL  [initandlisten] build environment:
2018-01-09T16:14:14.429+0100 I CONTROL  [initandlisten]     distmod: 2008plus-ssl
2018-01-09T16:14:14.429+0100 I CONTROL  [initandlisten]     distarch: x86_64
2018-01-09T16:14:14.429+0100 I CONTROL  [initandlisten]     target_arch: x86_64
2018-01-09T16:14:14.429+0100 I CONTROL  [initandlisten] options: { config: "c:\mongod.conf", net: { bindIp: "127.0.0.1", port: 27017 }, service: true, storage: { dbPath: "C:\Users\laura\Desktop\UniversidadUAH\ComputaciÃ³n ubicua\Pec2\medical_profiler\db\data\", journal: { enabled: true } }, systemLog: { component: { accessControl: { verbosity: 0 }, command: { verbosity: 0 } }, destination: "file", logAppend: false, logRotate: "rename", path: "C:\Users\laura\Desktop\UniversidadUAH\ComputaciÃ³n ubicua\Pec2\medical_profiler\db\logs\medical_profilerDB.log", quiet: false, timeStampFormat: "iso8601-local" } }
2018-01-09T16:14:14.435+0100 I -        [initandlisten] Detected data files in C:\Users\laura\Desktop\UniversidadUAH\ComputaciÃ³n ubicua\Pec2\medical_profiler\db\data\ created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
